,state,x,y
0,Andhra Pradesh,-64.0,-125.0
1,Arunachal Pradesh,188.0,134.0
2,Assam,160.0,97.0
3,Bihar,56.0,73.0
4,Chhattisgarh,-6.0,-2.0
5,Goa,-147.0,-115.0
6,Gujarat,-183.0,31.0
7,Haryana,-103.0,138.0
8,Himachal Pradesh,-83.0,190.0
9,Jharkhand,45.0,37.0
10,Karnataka,-113.0,-126.0
11,Kerala,-106.0,-199.0
12,Madhya Pradesh,-70.0,36.0
13,Maharashtra,-114.0,-38.0
14,Manipur,189.0,64.0
15,Meghalaya,142.0,76.0
16,Mizoram,174.0,40.0
17,Nagaland,198.0,91.0
18,Odisha,32.0,-24.0
19,Punjab,-122.0,169.0
20,Rajasthan,-143.0,94.0
21,Sikkim,96.0, 113.0
22,Tamil Nadu,-70.0, -196.0
23,Telangana,-64.0, -70.0
24,Tripura,153.0, 43.0
25,Uttar Pradesh,-37.0, 90.0
26,Uttarakhand,-54.0, 156.0
27,West Bengal,88.0, 21.0
